Key,Context,English,German,French
h7sb_batterybank_green,blocks,Battery Bank (green),Batteriebank (green),Banc de Batteries (green)
h7sb_batterybank_forest,blocks,Battery Bank (forest),Batteriebank (forest),Banc de Batteries (forest)
h7sb_batterybank_burned,blocks,Battery Bank (burned),Batteriebank (burned),Banc de Batteries (burned)
h7sb_batterybank_night,blocks,Battery Bank (night),Batteriebank (night),Banc de Batteries (night)

generatorbank,block,Small Generator Bank,Kleiner Generator,Petit Generateur
h7sb_generatorbank,block,Generator Bank,Generator,Generateur
h7sb_generatorbankLarge,block,Large Generator Bank,Großer Generator,Gros Generateur

h7sb_powerSourceDesc,desc,"Used to power electrical components.","Wird verwendet um elektrische Komponenten mit Strom zu versorgen.","Sert à générer de l'électricité pour vos appareils électriques"

h7sb_largeEngine,item,Large Engine,Großer Motor,Gros Moteur
h7sb_largeEngineDesc,desc,"A special part for generators.","Ein oft in Generatoren verwendetes Teil.","Une partie spéciale des générateurs"

electricfencepost,block,Electric Fence,Elektrozaun,Cloture Electrique
h7sb_hotWireFencepost,block,Hot Wire,Heißer Draht,Cable Brulant
h7sb_hotWireFencepostDesc,blocks,"Wire up 2 or more of these and burn your enemies.","Verbinde 2 oder mehr von diesen, und setze deine Feinde in Brand.","Connectez 2 cables ou plus, et brulez vos ennemis"

h7sb_acidThrower,block,Acid Thrower,Säurewerfer,Lanceur d Acide
h7sb_acidThrowerDesc,desc,Launches acid when powered.,"Verschleudert Säure, wenn aktiviert.","Lance de l'acide quand alimenté"
h7sb_ammoAcid,item,Acid Projectile,Säure Geschoss,Projectile d Acide
h7sb_ammoAcidDesc,desc,"Is fired with an acid launcher.","Wird mit einem Säurewerfer abgefeuert.","Est tiré avec un lanceur d'acide"

h7sb_bladeTrapHelper,blocks,Blade Trap,Klingenfalle,Piège à Lame
h7sb_bladeTrap_desert,blocks,Blade Trap (desert),Klingenfalle (desert),Piège à Lame (desert)
h7sb_bladeTrap_sun,blocks,Blade Trap (sun),Klingenfalle (sun),Piège à Lame (sun)
h7sb_bladeTrap_orange,blocks,Blade Trap (orange),Klingenfalle (orange),Piège à Lame (orange)
h7sb_bladeTrap_blood,blocks,Blade Trap (blood),Klingenfalle (blood),Piège à Lame (blood)
h7sb_bladeTrap_pink,blocks,Blade Trap (pink),Klingenfalle (pink),Piège à Lame (pink)
h7sb_bladeTrap_purple,blocks,Blade Trap (purple),Klingenfalle (purple),Piège à Lame (purple)
h7sb_bladeTrap_ocean,blocks,Blade Trap (ocean),Klingenfalle (ocean),Piège à Lame (ocean)
h7sb_bladeTrap_sky,blocks,Blade Trap (sky),Klingenfalle (sky),Piège à Lame (sky)
h7sb_bladeTrap_green,blocks,Blade Trap (green),Klingenfalle (green),Piège à Lame (green)
h7sb_bladeTrap_forest,blocks,Blade Trap (forest),Klingenfalle (forest),Piège à Lame (forest)
h7sb_bladeTrap_burned,blocks,Blade Trap (burned),Klingenfalle (burned),Piège à Lame (burned)
h7sb_bladeTrap_night,blocks,Blade Trap (night),Klingenfalle (night),Piège à Lame (night)

h7sb_bladeTrapDesc,desc,"Used to chop up zombies into many pieces. Just add zombies and stir.","Wird verwendet um Zombies in viele Stücke zu zerhacken. Nur Zombies hinzufügen und umrühren.","Utilisé pour découper les zombies en petits morceaux. Ajoutez simplement des zombies et remuez."

h7sb_laptop,blocks,Laptop,Laptop,Ordinateur Portable
h7sb_laptop7d2d,blocks,Laptop,Laptop,Ordinateur Portable
h7sb_laptopDisco,blocks,Laptop,Laptop,Ordinateur Portable
h7sb_laptopBiomes,blocks,Laptop,Laptop,Ordinateur Portable
h7sb_laptopRain,blocks,Laptop,Laptop,Ordinateur Portable

h7sb_laptopDesc,desc,"Used to play music from cds. After insert a cd the device must be reconnected. Pick up to block to adjust its roation.","Dient zur Wiedergabe von Musik von CD's. Nach dem Einlegen einer CD muss das Gerät wieder angeschlossen werden. Heben Sie den Block an, um seine Position zu ändern.","Utilisé pour lire de la musique à partir de CD. Après avoir inséré un cd, l'appareil doit être reconnecté. Ramassez du bloc pour ajuster sa rotation."

h7sb_CD_7d2d,item,"CD: 7 Days Theme","CD: 7 Days Theme","CD: 7 Days Theme"
h7sb_CD_disco,item,"CD: Disco","CD: Disco","CD: Disco"
h7sb_CD_biomes,item,"CD: Biomes","CD: Biomes","CD: Biomes"
h7sb_CD_rain,item,"CD: Raining","CD: Raining","CD: Raining"

h7sb_CDDesc,desc,"Insert (RMB) the cd into a laptop to play music. Destroy the Laptop to get your cd back and play another.","Lege (RMB) die CD in einen Laptop ein, um Musik abzuspielen. Zerstöre den Laptop, um deine CD zurückzubekommen und eine andere abzuspielen.","Insérez (RMB) le CD dans un ordinateur portable pour écouter de la musique. Détruisez l'ordinateur portable pour récupérer votre CD et en lire un autre."

h7sb_turretAuger,blocks,Robotic Auger,Robotik-Bohrer,Foreuse Robotisee
turretAuger,blocks,Robotic Auger,Robotik-Bohrer,Foreuse Robotisee
h7sb_turretChainsaw,blocks,Robotic Saw,Robotik-Säge,Scie Robotisee
turretChainsaw,blocks,Robotic Saw,Robotik-Säge,Scie Robotisee
h7sb_turretToolDesc,desc,"This item can be placed (RMB) and automatically attacks enemies. \n\nIn combination with H7SB Lights, you can activate the light by hitting it.","Dieser Gegenstand kann platziert (RMB) werden und greift automatisch Gegner an. \n\nIn Kombination mit H7SB Lights kann man das Licht durch einen Schlag aktivieren.","Cet objet peut être placé (RMB) et attaquera automatiquement les ennemis. \n\nEn la combinant avec les lumières H7SB, vous pouvez activer la lumière en le frappant."

futurTecSchematic,item,"Book: Information Age","Buch: Informationszeitalter"
futurTecSchematicDesc,desc,"This book contains lost knowledge from the past. To read it you need at least engineer rank 3.","Dieses Buch enthält verlorenes Wissen aus der Vergangenheit. Um es zu lesen, brauchst du mindestens Ingenieurrang 3.","Ce livre contient des connaissances perdues du passé. Pour le lire, vous devez posséder au moins le rang d'Ingénieur 3."

h7sb_buffCorroded,buff,Corroded,Verätzt,Corrosion
h7sb_buffCorrodedDesc,desc,"You have been corroded and are suffering damage.","Du wurdest verätzt und erleidest schaden.","Vous subissez des dommages corrosifs"
