Key,Context,English,German
h7sb_domesticatedChickenDesc,newBlock,"Place (RMB) the nest and wait a short moment for the chicken to appear. Then use the carrot and stick to care for the chicken. \n\nIf the chicken does not appear, it is not bad - but it can be fixed by picking up the block and place it again. All animals need at least 1 block distance to other animals in order to appear!","Platziere (RMB) das Nest und warte einen kurzen Moment bis das Huhn erscheint. Verwende anschließend den Gegenstand Zuckerbrot und Peitsche, um das Huhn zu versorgen. \n\nSollte das Huhn nicht erscheinen ist es nicht schlimm - kann aber behoben werden, indem man den Block aufhebt und erneut platziert. Alle Tiere benötigen mindestens 1 Block Abstand zu anderen Tieren um zu erscheinen!"
h7sb_chickenPlace1,newBlock,Chicken ([baffc9]young[-]),Huhn ([baffc9]jung[-])
h7sb_chickenPlace2,newBlock,Chicken ([baffc9]young[-]),Huhn ([baffc9]jung[-])
h7sb_chickenPlace3,newBlock,Chicken ([baffc9]young[-]),Huhn ([baffc9]jung[-])
h7sb_chickenPlace4,newBlock,Chicken ([baffc9]young[-]),Huhn ([baffc9]jung[-])
h7sb_chickenPlace5,newBlock,Chicken ([baffc9]young[-]),Huhn ([baffc9]jung[-])
h7sb_chickenPlace6,newBlock,Chicken ([baffc9]young[-]),Huhn ([baffc9]jung[-])
h7sb_chickenPlace7,newBlock,Chicken ([baffc9]young[-]),Huhn ([baffc9]jung[-])
h7sb_chickenPlace8,newBlock,Chicken ([baffc9]young[-]),Huhn ([baffc9]jung[-])
h7sb_chickenPlace9,newBlock,Chicken ([baffc9]young[-]),Huhn ([baffc9]jung[-])
h7sb_chickenPlace10,newBlock,Chicken ([baffc9]young[-]),Huhn ([baffc9]jung[-])
h7sb_chickenPlace11,newBlock,Chicken ([baffc9]young[-]),Huhn ([baffc9]jung[-])
h7sb_chickenPlace12,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenPlace13,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenPlace14,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenPlace15,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenPlace16,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenPlace17,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenPlace18,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenPlace19,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenPlace20,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenPlace21,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenPlace22,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenPlace23,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenPlace24,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenPlace25,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenPlace26,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenPlace27,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenPlace28,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenPlace29,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenPlace30,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenPlace31,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenPlace32,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenPlace33,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenPlace34,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenPlace35,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenPlace36,newBlock,Chicken ([ffb3ba]ancient[-]),Huhn ([ffb3ba]steinalt[-])

h7sb_chickenLoot2,newBlock,Chicken ([baffc9]young[-]),Huhn ([baffc9]jung[-])
h7sb_chickenLoot3,newBlock,Chicken ([baffc9]young[-]),Huhn ([baffc9]jung[-])
h7sb_chickenLoot4,newBlock,Chicken ([baffc9]young[-]),Huhn ([baffc9]jung[-])
h7sb_chickenLoot5,newBlock,Chicken ([baffc9]young[-]),Huhn ([baffc9]jung[-])
h7sb_chickenLoot6,newBlock,Chicken ([baffc9]young[-]),Huhn ([baffc9]jung[-])
h7sb_chickenLoot7,newBlock,Chicken ([baffc9]young[-]),Huhn ([baffc9]jung[-])
h7sb_chickenLoot8,newBlock,Chicken ([baffc9]young[-]),Huhn ([baffc9]jung[-])
h7sb_chickenLoot9,newBlock,Chicken ([baffc9]young[-]),Huhn ([baffc9]jung[-])
h7sb_chickenLoot10,newBlock,Chicken ([baffc9]young[-]),Huhn ([baffc9]jung[-])
h7sb_chickenLoot11,newBlock,Chicken ([baffc9]young[-]),Huhn ([baffc9]jung[-])
h7sb_chickenLoot12,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenLoot13,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenLoot14,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenLoot15,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenLoot16,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenLoot17,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenLoot18,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenLoot19,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenLoot20,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenLoot21,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenLoot22,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenLoot23,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenLoot24,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenLoot25,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenLoot26,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenLoot27,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenLoot28,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenLoot29,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenLoot30,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenLoot31,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenLoot32,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenLoot33,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenLoot34,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenLoot35,newBlock,Chicken ([ffdfba]old[-]),Huhn ([ffdfba]alt[-])
h7sb_chickenLoot36,newBlock,Chicken ([ffb3ba]ancient[-]),Huhn ([ffb3ba]steinalt[-])

h7sb_chickenFert12,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenFledged12,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenFert24,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenFledged24,newBlock,Chicken ([ffffba]adult[-]),Huhn ([ffffba]ausgewachsen[-])
h7sb_chickenFert36,newBlock,Chicken ([ffb3ba]ancient[-]),Huhn ([ffb3ba]steinalt[-])
h7sb_chickenFledged36,newBlock,Chicken ([ffb3ba]ancient[-]),Huhn ([ffb3ba]steinalt[-])
