Key,Source,Context,English,German
h7sb_ironDoubleDoorT1_pink,blocks,Door,Iron Double Door (pink),Eisendoppeltür (pink)
h7sb_ironDoubleDoorT1_purple,blocks,Door,Iron Double Door (purple),Eisendoppeltür (purple)
h7sb_ironDoubleDoorT1_ocean,blocks,Door,Iron Double Door (ocean),Eisendoppeltür (ocean)
h7sb_ironDoubleDoorT1_sky,blocks,Door,Iron Double Door (sky),Eisendoppeltür (sky)
h7sb_ironDoubleDoorT1_green,blocks,Door,Iron Double Door (green),Eisendoppeltür (green)
h7sb_ironDoubleDoorT1_forest,blocks,Door,Iron Double Door (forest),Eisendoppeltür (forest)
h7sb_ironDoubleDoorT1_burned,blocks,Door,Iron Double Door (burned),Eisendoppeltür (burned)
h7sb_ironDoubleDoorT1_night,blocks,Door,Iron Double Door (night),Eisendoppeltür (night)

h7sb_commercialDoorT1_default,blocks,Door,Office Door (default),Bürotür (standart)
h7sb_commercialDoorT1_default2,blocks,Door,Office Door (default),Bürotür (standart)
h7sb_commercialDoorT1_default3,blocks,Door,Office Door (default),Bürotür (standart)

h7sb_ironHatchHelper,blocks,Door,Secure Iron Hatches,Gesicherte Eisenklappen
scrapHatch_v1,blocks,Door,Iron Hatch (default),Eisenklappe (standart)
h7sb_ironHatchT1_desert,blocks,Door,Iron Hatch (desert),Eisenklappe (desert)
h7sb_ironHatchT1_sun,blocks,Door,Iron Hatch (sun),Eisenklappe (sun)
h7sb_ironHatchT1_orange,blocks,Door,Iron Hatch (orange),Eisenklappe (orange)
h7sb_ironHatchT1_blood,blocks,Door,Iron Hatch (blood),Eisenklappe (blood)
h7sb_ironHatchT1_pink,blocks,Door,Iron Hatch (pink),Eisenklappe (pink)
h7sb_ironHatchT1_purple,blocks,Door,Iron Hatch (purple),Eisenklappe (purple)
h7sb_ironHatchT1_ocean,blocks,Door,Iron Hatch (ocean),Eisenklappe (ocean)
h7sb_ironHatchT1_sky,blocks,Door,Iron Hatch (sky),Eisenklappe (sky)
h7sb_ironHatchT1_green,blocks,Door,Iron Hatch (green),Eisenklappe (green)
h7sb_ironHatchT1_forest,blocks,Door,Iron Hatch (forest),Eisenklappe (forest)
h7sb_ironHatchT1_burned,blocks,Door,Iron Hatch (burned),Eisenklappe (burned)
h7sb_ironHatchT1_night,blocks,Door,Iron Hatch (night),Eisenklappe (night)

h7sb_manholeHatch,blocks,Door,Sewer Hatch,Kanaldeckel

h7sb_steelDoorHelper,blocks,Door,Secure Steel Doors,Gesicherte Stahltüren
vaultDoor01,blocks,Door,Steel Door (default),Stahltür (standart)
h7sb_steelDoorT1_desert,blocks,Door,Steel Door (desert),Stahltür (desert)
h7sb_steelDoorT1_sun,blocks,Door,Steel Door (sun),Stahltür (sun)
h7sb_steelDoorT1_orange,blocks,Door,Steel Door (orange),Stahltür (orange)
h7sb_steelDoorT1_blood,blocks,Door,Steel Door (blood),Stahltür (blood)
h7sb_steelDoorT1_pink,blocks,Door,Steel Door (pink),Stahltür (pink)
h7sb_steelDoorT1_purple,blocks,Door,Steel Door (purple),Stahltür (purple)
h7sb_steelDoorT1_ocean,blocks,Door,Steel Door (ocean),Stahltür (ocean)
h7sb_steelDoorT1_sky,blocks,Door,Steel Door (sky),Stahltür (sky)
h7sb_steelDoorT1_green,blocks,Door,Steel Door (green),Stahltür (green)
h7sb_steelDoorT1_forest,blocks,Door,Steel Door (forest),Stahltür (forest)
h7sb_steelDoorT1_burned,blocks,Door,Steel Door (burned),Stahltür (burned)
h7sb_steelDoorT1_night,blocks,Door,Steel Door (night),Stahltür (night)

h7sb_steelHatchHelper,blocks,Door,Secure Steel Hatches,Gesicherte Stahlklappen
vaultHatch_v1,blocks,Door,Steel Hatch (default),Stahlklappe (standart)
h7sb_steelHatchT1_desert,blocks,Door,Steel Hatch (desert),Stahlklappe (desert)
h7sb_steelHatchT1_sun,blocks,Door,Steel Hatch (sun),Stahlklappe (sun)
h7sb_steelHatchT1_orange,blocks,Door,Steel Hatch (orange),Stahlklappe (orange)
h7sb_steelHatchT1_blood,blocks,Door,Steel Hatch (blood),Stahlklappe (blood)
h7sb_steelHatchT1_pink,blocks,Door,Steel Hatch (pink),Stahlklappe (pink)
h7sb_steelHatchT1_purple,blocks,Door,Steel Hatch (purple),Stahlklappe (purple)
h7sb_steelHatchT1_ocean,blocks,Door,Steel Hatch (ocean),Stahlklappe (ocean)
h7sb_steelHatchT1_sky,blocks,Door,Steel Hatch (sky),Stahlklappe (sky)
h7sb_steelHatchT1_green,blocks,Door,Steel Hatch (green),Stahlklappe (green)
h7sb_steelHatchT1_forest,blocks,Door,Steel Hatch (forest),Stahlklappe (forest)
h7sb_steelHatchT1_burned,blocks,Door,Steel Hatch (burned),Stahlklappe (burned)
h7sb_steelHatchT1_night,blocks,Door,Steel Hatch (night),Stahlklappe (night)

h7sb_jailDoorHelper,blocks,Door,Secure Jail Doors,Gesicherte Gefängnistüren
h7sb_jailDoor_default,blocks,Door,Jail Door (default),Gefängnistür (standart)
h7sb_jailDoor_desert,blocks,Door,Jail Door (desert),Gefängnistür (desert)
h7sb_jailDoor_sun,blocks,Door,Jail Door (sun),Gefängnistür (sun)
h7sb_jailDoor_orange,blocks,Door,Jail Door (orange),Gefängnistür (orange)
h7sb_jailDoor_blood,blocks,Door,Jail Door (blood),Gefängnistür (blood)
h7sb_jailDoor_pink,blocks,Door,Jail Door (pink),Gefängnistür (pink)
h7sb_jailDoor_purple,blocks,Door,Jail Door (purple),Gefängnistür (purple)
h7sb_jailDoor_ocean,blocks,Door,Jail Door (ocean),Gefängnistür (ocean)
h7sb_jailDoor_sky,blocks,Door,Jail Door (sky),Gefängnistür (sky)
h7sb_jailDoor_green,blocks,Door,Jail Door (green),Gefängnistür (green)
h7sb_jailDoor_forest,blocks,Door,Jail Door (forest),Gefängnistür (forest)
h7sb_jailDoor_burned,blocks,Door,Jail Door (burned),Gefängnistür (burned)
h7sb_jailDoor_night,blocks,Door,Jail Door (night),Gefängnistür (night)

h7sb_jailBarsHelper,blocks,Door,Jail Bars,Gitterstäbe
h7sb_jailBars_default,blocks,Door,Jail Bar (default),Gitterstäbe (standart)
h7sb_jailBars_desert,blocks,Door,Jail Bar (desert),Gitterstäbe (desert)
h7sb_jailBars_sun,blocks,Door,Jail Bar (sun),Gitterstäbe (sun)
h7sb_jailBars_orange,blocks,Door,Jail Bar (orange),Gitterstäbe (orange)
h7sb_jailBars_blood,blocks,Door,Jail Bar (blood),Gitterstäbe (blood)
h7sb_jailBars_pink,blocks,Door,Jail Bar (pink),Gitterstäbe (pink)
h7sb_jailBars_purple,blocks,Door,Jail Bar (purple),Gitterstäbe (purple)
h7sb_jailBars_ocean,blocks,Door,Jail Bar (ocean),Gitterstäbe (ocean)
h7sb_jailBars_sky,blocks,Door,Jail Bar (sky),Gitterstäbe (sky)
h7sb_jailBars_green,blocks,Door,Jail Bar (green),Gitterstäbe (green)
h7sb_jailBars_forest,blocks,Door,Jail Bar (forest),Gitterstäbe (forest)
h7sb_jailBars_burned,blocks,Door,Jail Bar (burned),Gitterstäbe (burned)
h7sb_jailBars_night,blocks,Door,Jail Bar (night),Gitterstäbe (night)

h7sb_steelDoorPoweredHelper,blocks,Door,Electrical Steel Doors/Hatches,Elektrische Stahltüren/klappen
vaultDoor03_Powered,blocks,Door,Steel Door (default),Stahltür (standart)
h7sb_steelDoorT4_desert,blocks,Door,Steel Door (desert),Stahltür (desert)
h7sb_steelDoorT4_sun,blocks,Door,Steel Door (sun),Stahltür (sun)
h7sb_steelDoorT4_orange,blocks,Door,Steel Door (orange),Stahltür (orange)
h7sb_steelDoorT4_blood,blocks,Door,Steel Door (blood),Stahltür (blood)
h7sb_steelDoorT4_pink,blocks,Door,Steel Door (pink),Stahltür (pink)
h7sb_steelDoorT4_purple,blocks,Door,Steel Door (purple),Stahltür (purple)
h7sb_steelDoorT4_ocean,blocks,Door,Steel Door (ocean),Stahltür (ocean)
h7sb_steelDoorT4_sky,blocks,Door,Steel Door (sky),Stahltür (sky)
h7sb_steelDoorT4_green,blocks,Door,Steel Door (green),Stahltür (green)
h7sb_steelDoorT4_forest,blocks,Door,Steel Door (forest),Stahltür (forest)
h7sb_steelDoorT4_burned,blocks,Door,Steel Door (burned),Stahltür (burned)
h7sb_steelDoorT4_night,blocks,Door,Steel Door (night),Stahltür (night)

h7sb_jailDoorE_default,blocks,Door,Jail Door (default),Gefängnistür (standart)
h7sb_jailDoorE_desert,blocks,Door,Jail Door (desert),Gefängnistür (desert)
h7sb_jailDoorE_sun,blocks,Door,Jail Door (sun),Gefängnistür (sun)
h7sb_jailDoorE_orange,blocks,Door,Jail Door (orange),Gefängnistür (orange)
h7sb_jailDoorE_blood,blocks,Door,Jail Door (blood),Gefängnistür (blood)
h7sb_jailDoorE_pink,blocks,Door,Jail Door (pink),Gefängnistür (pink)
h7sb_jailDoorE_purple,blocks,Door,Jail Door (purple),Gefängnistür (purple)
h7sb_jailDoorE_ocean,blocks,Door,Jail Door (ocean),Gefängnistür (ocean)
h7sb_jailDoorE_sky,blocks,Door,Jail Door (sky),Gefängnistür (sky)
h7sb_jailDoorE_green,blocks,Door,Jail Door (green),Gefängnistür (green)
h7sb_jailDoorE_forest,blocks,Door,Jail Door (forest),Gefängnistür (forest)
h7sb_jailDoorE_burned,blocks,Door,Jail Door (burned),Gefängnistür (burned)
h7sb_jailDoorE_night,blocks,Door,Jail Door (night),Gefängnistür (night)

h7sb_doorHelperDesc,blocks,Door,"Available in different colours.Can be upgraded to electric version","In verschiedenen Farben verfügbar. Kann zur Elektro Version aufgewertet werden"
