Key,Source,Context,English,German
meleeWpnSpearT0StoneSpearDesc,item,desc,"The stone spear is a primitive weapon with which you can impale opponents (LMB). Thrown (RMB) the damage is increased. \n\nIt cannot be repaired and breaks. Limited function underwater.","Der Steinspeer ist eine primitive Waffe mit der man Gegner aufspießen (LMB) kann. Geworfen (RMB) ist der Schaden erhöht. \n\nEr kann nicht repariert werden und zerbricht. Eingeschränkte Funktion unter Wasser." 
meleeWpnSledgeT0StoneSledgehammerDesc,item,weapon,Stone Sledgehammer, Steinprügel
meleeWpnSledgeT0StoneSledgehammerDesc,item,desc,"The stone sledgehammer is a primitive weapon that can be used to crush opponents (LMB/RMB). Power attacks (RMB) require more stamina. \n\nIt cannot be repaired and breaks. Cannot be used underwater.","Der Steinprügel ist eine primitive Waffe mit der man Gegner zermatschen (LMB/RMB) kann. Stärkere Attacken (RMB) benötigen mehr Ausdauer. \n\nEr kann nicht repariert werden und zerbricht. Kann nicht unter Wasser verwendet werden."
meleeWpnKnucklesT0LeatherKnucklesDesc,item,desc,"Leather hand wraps are primitive weapons that can be used to damage opponents (LMB/RMB). Power attacks (RMB) require more stamina. \n\nIt cannot be repaired and will break. Can be used underwater.","Lederhandwickel sind primitive Waffen mit denen man Gegner schädigen (LMB/RMB) kann. Stärkere Attacken (RMB) benötigen mehr Ausdauer. \n\nSie können nicht repariert werden und gehen kaputt. Kann unter Wasser verwendet werden."
gunBowT0PrimitiveBowDesc,item,desc,"The primitive bow is a weapon that can be used to shoot enemies at a distance (LMB). Aiming (RMB) enables more accurate hits, but costs stamina. The ammunition can be changed (R). \n\nIt cannot be repaired and will break. Cannot be used underwater.","Der primitive Bogen ist eine Waffe mit der man Gegner auf Entfernung abschießen (LMB) kann. Zielen (RMB) ermöglicht genauere Treffer, kostet aber Ausdauer. Die Munition kann gewechselt (R) werden. \n\nEr kann nicht repariert werden und zerbricht. Kann nicht unter Wasser verwendet werden."
gunShotgunT0BlunderbussDesc,item,desc,"The blunderbuss is a simple weapon that can be used to shoot enemies at a short distance (LMB). Aiming (RMB) allows more accurate hits, but costs stamina. \n\nIt cannot be repaired and will break. Cannot be used underwater.","Die Donnerbüchse ist eine einfache Waffe mit der man Gegner auf kurze Entfernung abschießen (LMB) kann. Zielen (RMB) ermöglicht genauere Treffer, kostet aber Ausdauer. \n\nSie kann nicht repariert werden und zerbricht. Kann nicht unter Wasser verwendet werden."
meleeToolSalvageT1WrenchDesc,item,desc,"The wrench is a simpel tool that can be used (LMB) to scrap objects. Power attacks (RMB) require more stamina. \n\nIt can be repaired with a small kit, but can also break. Cannot be used underwater.","Der Schraubenschlüssel ist ein einfaches Werkzeug mit dem man Gegenstände zerlegen (LMB/RMB) kann.  Stärkere Hiebe (RMB) benötigen mehr Ausdauer. \n\nEr kann mit einem kleinen Kit repariert werden aber auch zerbrechen. Kann nicht unter Wasser verwendet werden."

meleeToolRepairT1ClawHammerDesc,item,desc,"The hammer is a tool with which blocks can be repaired and upgraded (RMB) faster. It is most effective (LMB) against stone and metal. \n\nIt can be repaired with a small kit, but can also break. Limited use underwater.","Der Hammer ist ein Werkzeug mit dem man Blöcke schneller reparieren und aufwerten (RMB) kann. Er ist am wirkungsvollsten (LMB) gegen Stein und Metall. \n\nEr kann mit einem kleinen Kit repariert werden aber auch zerbrechen. Eingeschränkte Funktion unter Wasser."
meleeToolAxeT1IronFireaxeDesc,item,desc,"The ax is a tool with which you can cut wood (LMB/RMB). Power attacks (RMB) require more stamina. \n\nIt can be repaired with a small kit, but it can also break. Cannot be used underwater.","Die Axt ist ein Werkzeug mit dem man Holz abbauen (LMB/RMB) kann. Stärkere Schwünge (RMB) benötigen mehr Ausdauer. \n\nSie kann mit einem kleinen Kit repariert werden aber auch zerbrechen. Kann nicht unter Wasser verwendet werden."
meleeToolPickT1IronPickaxeDesc,item,desc,"The pickaxe is a tool with which you can mine stone and metal (LMB/RMB). Power attacks (RMB) require more stamina. \n\nIt can be repaired with a small kit, but it can also break. Cannot be used underwater.","Die Spitzhacke ist ein Werkzeug mit dem man Stein und Metall abbauen (LMB/RMB) kann. Stärkere Schwünge (RMB) benötigen mehr Ausdauer. \n\nSie kann mit einem kleinen Kit repariert werden aber auch zerbrechen. Kann nicht unter Wasser verwendet werden."
meleeToolShovelT1IronShovelDesc,item,desc,"The shovel is a tool with which you can break down earth, sand and snow (LMB/RMB). Power attacks (RMB) require more stamina. \n\nIt can be repaired with a small kit, but it can also break.Damage to stones is increased underwater.","Die Schaufel ist ein Werkzeug mit dem man Erde, Sand und Schnee abbauen (LMB/RMB) kann. Stärkere Schwünge (RMB) benötigen mehr Ausdauer. \n\nSie kann mit einem kleinen Kit repariert werden aber auch zerbrechen. Unter Wasser ist der Schaden an Steinen erhöht."
meleeWpnBladeT1HuntingKnifeDesc,item,desc,"The knife is a tool with which you can cut up animals (LMB/RMB). Power attacks (RMB) require more stamina. Does less damage to other material. \n\nIt can be repaired with a small kit, but it can also break. Limited function under water.","Das Messer ist ein Werkzeug mit dem man Tiere zerlegen (LMB/RMB) kann. Stärkere Stiche (RMB) benötigen mehr Ausdauer. Richtet an anderem Material wenig Schaden an. \n\nEs kann mit einem kleinen Kit repariert werden aber auch zerbrechen. Eingeschränkte Funktion unter Wasser."
meleeWpnClubT1BaseballBatDesc,item,desc,"The baseball club is a weapon that can be used to crush opponents (LMB/RMB). Power attacks (RMB) require more stamina. \n\nIt can be repaired with a small kit, but it can also break. Cannot be used underwater.","Der Holzschläger ist eine Waffe mit der man Gegner zermatschen (LMB/RMB) kann. Stärkere Attacken (RMB) benötigen mehr Ausdauer. \n\nEr kann mit einem kleinen Kit repariert werden aber auch zerbrechen.  Kann nicht unter Wasser verwendet werden."
meleeWpnSpearT1IronSpearDesc,item,desc,"The spear is a weapon that can be used to impale opponents (LMB). Thrown (RMB) the damage is increased. \n\nIt can be repaired with a small kit, but it can also break. Limited functionality under water.","Der Speer ist eine Waffe mit der man Gegner aufspießen (LMB) kann. Geworfen (RMB) ist der Schaden erhöht. \n\nEr kann mit einem kleinen Kit repariert werden aber auch zerbrechen. Eingeschränkte Funktion unter Wasser."
meleeWpnSledgeT1IronSledgehammer,item,weapon,Iron Sledgehammer,Eisenprügel
meleeWpnSledgeT1IronSledgehammerDesc,item,desc,"The iron sledgehammer is a weapon that can be used to crush opponents (LMB/RMB). Power attacks (RMB) require more stamina. \n\nIt can be repaired with a small kit, but it can also break. Cannot be used underwater.","Der Eisenprügel ist eine Waffe mit der man Gegner zermatschen (LMB/RMB) kann. Stärkere Attacken (RMB) benötigen mehr Ausdauer. \n\nEr kann mit einem kleinen Kit repariert werden aber auch zerbrechen.  Kann nicht unter Wasser verwendet werden."
meleeWpnKnucklesT1IronKnucklesDesc,item,desc,"Brass knuckles are weapons with which you can damage opponents (LMB/RMB). Power attacks (RMB) require more stamina. \n\nThey can be repaired with a small kit, but they can also break. Can be used underwater.","Schlagringe sind Waffen mit denen man Gegner schädigen (LMB/RMB) kann. Stärkere Attacken (RMB) benötigen mehr Ausdauer. \n\nSie können mit einem kleinen Kit repariert werden aber auch zerbrechen. Können unter Wasser verwendet werden."
gunBowT1WoodenBowDesc,item,desc,"The bow is a weapon with which you can shoot enemies at a distance (LMB). Aiming (RMB) allows more accurate hits, but costs stamina. The ammunition can be changed (R). \n\nIt can be repaired with a small kit but also break. Cannot be used underwater. ","Der Bogen ist eine Waffe mit der man Gegner auf Entfernung abschießen (LMB) kann. Zielen (RMB) ermöglicht genauere Treffer, kostet aber Ausdauer. Die Munition kann gewechselt (R) werden. \n\nEr kann mit einem kleinen Kit repariert werden aber auch zerbrechen. Kann nicht unter Wasser verwendet werden."
gunBowT1IronCrossbowDesc,item,desc,"The crossbow is a weapon with which you can shoot enemies at a distance (LMB). Aiming (RMB) allows more accurate hits, but costs stamina. The ammunition can be changed (R). \n\nIt can be repaired with a small kit but also break. Limited function under water (8m). ","Die Armbrust ist eine Waffe mit der man Gegner auf Entfernung abschießen (LMB) kann. Zielen (RMB) ermöglicht genauere Treffer, kostet aber Ausdauer. Die Munition kann gewechselt (R) werden. \n\nSie kann mit einem kleinen Kit repariert werden aber auch zerbrechen. Eingeschränkte Funktion unter Wasser (8m)."

gunBowT3CompoundBowDesc,item,desc,"The compound bow is a excellent weapon with which you can shoot enemies at a distance (LMB). Aiming (RMB) allows more precise hits, but costs stamina. The ammunition can be changed (R). \n\nIt can be repaired with a small kit and won't break. Cannot be used underwater.","Der Compoundbogen ist eine hervorragende Waffe mit der man Gegner auf Entfernung abschießen (LMB) kann. Zielen (RMB) ermöglicht genauere Treffer, kostet aber Ausdauer. Die Munition kann gewechselt (R) werden. \n\nEr kann mit einem kleinen Kit repariert werden und zerbricht nicht. Kann nicht unter Wasser verwendet werden."
gunBowT3CompoundCrossbowDesc,item,desc,"The heavy crossbow is an excellent weapon with which you can shoot enemies at a distance (LMB). Aiming (RMB) allows more accurate hits, but costs stamina. The ammunition can be changed (R). \n\nYou can use a small kit can be repaired and will not break. Limited functionality under water (12m).","Die schwere Armbrust ist eine hervorragende Waffe mit der man Gegner auf Entfernung abschießen (LMB) kann. Zielen (RMB) ermöglicht genauere Treffer, kostet aber Ausdauer. Die Munition kann gewechselt (R) werden. \n\nSie kann mit einem kleinen Kit repariert werden und zerbricht nicht. Eingeschränkte Funktion unter Wasser (12m)."
gunHandgunT1PistolDesc,item,desc,"The pistol is a simple weapon with which you can shoot enemies at a distance (LMB). Aiming (RMB) allows more accurate hits, but costs stamina. The ammunition can be changed (R). \n\nIt can be repaired with a small kit will and will not break. Limited function under water (3m).","Die Pistole ist eine einfache Waffe mit der man Gegner auf Entfernung abschießen (LMB) kann. Zielen (RMB) ermöglicht genauere Treffer, kostet aber Ausdauer. Die Munition kann gewechselt (R) werden. \n\nSie kann mit einem kleinen Kit repariert werden und zerbricht nicht. Eingeschränkte Funktion unter Wasser (3m)."
gunShotgunT1DoubleBarrelDesc,item,desc,"The double-barreled shotgun is a simple weapon with which you can shoot enemies at short range (LMB). Aiming (RMB) allows more accurate hits, but costs stamina. The ammunition can be changed (R). \n\nIt can be with a small Kit can be repaired and will not break. Limited functionality under water (3m).","Die Doppelläufige Schrotflinte ist eine einfache Waffe mit der man Gegner auf kurze Entfernung abschießen (LMB) kann. Zielen (RMB) ermöglicht genauere Treffer, kostet aber Ausdauer. Die Munition kann gewechselt (R) werden. \n\nSie kann mit einem kleinen Kit repariert werden und zerbricht nicht. Eingeschränkte Funktion unter Wasser (3m)."
gunRifleT1HuntingRifleDesc,item,desc,"The hunting rifle is a simple weapon with which you can shoot enemies at long distances (LMB). Aiming (RMB) allows more precise hits, but costs stamina. The ammunition can be changed (R). \n\nIt can be repaired with a small kit and does not break. Limited function under water (6m).","Das Jagdgewehr ist eine einfache Waffe mit der man Gegner auf weite Entfernungen abschießen (LMB) kann. Zielen (RMB) ermöglicht genauere Treffer, kostet aber Ausdauer. Die Munition kann gewechselt (R) werden. \n\nEs kann mit einem kleinen Kit repariert werden und zerbricht nicht. Eingeschränkte Funktion unter Wasser (6m)."
gunHandgunT3SMG5Desc,item,desc,"The SMG is a simple weapon with which you can shoot enemies at a distance (LMB). Aiming (RMB) allows more accurate hits, but costs stamina. The ammunition can be changed (R). \n\nIt can be repaired with a small kit and will not break. Limited function under water (4m).","Das SMG ist eine einfache Waffe mit der man Gegner auf Entfernung abschießen (LMB) kann. Zielen (RMB) ermöglicht genauere Treffer, kostet aber Ausdauer. Die Munition kann gewechselt (R) werden. \n\nEs kann mit einem kleinen Kit repariert werden und zerbricht nicht. Eingeschränkte Funktion unter Wasser (4m)."

meleeToolRepairT3NailgunDesc,item,desc,"The nail gun is an excellent tool with which you can upgrade blocks very quickly (RMB). Can shoot nails (LMB). \n\nIt can be repaired with a large kit and does not break. Limited functionality underwater (3m).","Die Nagelpistole ist ein hervorragendes Werkzeug mit dem man Blöcke sehr schnell aufwerten (RMB) kann. Kann Nägel verschießen (LMB). \n\nEs kann mit einem großen Kit repariert werden und zerbricht nicht. Eingeschränkte Funktion unter Wasser (3m)."
meleeToolAxeT2SteelAxeDesc,item,desc,"The steel ax is an excellent tool for breaking down wood (LMB/RMB). Power attacks (RMB) require more stamina. \n\nIt can be repaired with a large kit and will not break. Cannot be used underwater.","Die Stahlaxt ist ein hervorragendes Werkzeug mit dem man Holz abbauen (LMB/RMB) kann. Stärkere Schwünge (RMB) benötigen mehr Ausdauer. \n\nSie kann mit einem großen Kit repariert werden und zerbricht nicht. Kann nicht unter Wasser verwendet werden."
meleeToolShovelT2SteelShovelDesc,item,desc,"The steel shovel is an excellent tool with which you can dig up earth, sand and snow (LMB/RMB). Power attacks (RMB) require more stamina. \n\nIt can be repaired with a large kit and will not break. The damage to stones is underwater increased.","Die Stahlschaufel ist ein hervorragendes Werkzeug mit dem man Erde, Sand und Schnee abbauen (LMB/RMB) kann. Stärkere Schwünge (RMB) benötigen mehr Ausdauer. \n\nSie kann mit einem großen Kit repariert werden und zerbricht nicht. Unter Wasser ist der Schaden an Steinen erhöht."
meleeToolPickT2SteelPickaxeDesc,item,desc,"The steel pickaxe is an excellent tool for mining stones and metal (LMB/RMB). Power attacks (RMB) require more stamina. \n\nIt can be repaired with a large kit and will not break. Cannot be used underwater will.","Die Stahlspitzhacke ist ein hervorragendes Werkzeug mit dem man Steine und Metall abbauen (LMB/RMB) kann. Stärkere Schwünge (RMB) benötigen mehr Ausdauer. \n\nSie kann mit einem großen Kit repariert werden und zerbricht nicht. Kann nicht unter Wasser verwendet werden."
meleeWpnBladeT3MacheteDesc,item,desc,"The machete is an excellent weapon that can also be used to cut up animals (LMB/RMB). Power attacks (RMB) require more stamina. \n\nIt can be repaired with a large kit and will not break. Cannot be used underwater.","Die Machete ist eine hervorragende Waffe mit der man auch Tiere zerlegen (LMB/RMB) kann. Stärkere Schwünge (RMB) benötigen mehr Ausdauer. \n\nSie kann mit einem großen Kit repariert werden und zerbricht nicht. Kann nicht unter Wasser verwendet werden."
meleeWpnClubT3SteelClubDesc,item,desc,"The steel bat is an excellent weapon with which one can crush opponents (LMB/RMB). Power attacks (RMB) require more stamina. \n\nIt can be repaired with a large kit and does not break. Cannot be used underwater.","Der Stahlschläger ist eine hervorragende Waffe mit der man Gegner zermatschen (LMB/RMB) kann. Stärkere Attacken (RMB) benötigen mehr Ausdauer. \n\nEr kann mit einem großen Kit repariert werden und zerbricht nicht. Kann nicht unter Wasser verwendet werden."
meleeWpnBatonT2StunBatonDesc,item,desc,"The stun baton is an excellent weapon for crushing opponents (LMB/RMB). Power attacks (RMB) require more stamina. Repeated attacks charge it and cause electrical damage. \n\nIt can be repaired with a large kit and won't break. Cannot be used underwater.","Der Schockstab ist eine hervorragende Waffe mit der man Gegner zermatschen (LMB/RMB) kann. Stärkere Attacken (RMB) benötigen mehr Ausdauer. Wiederholte Angriffe laden ihn auf und verursachen elektrischen Schaden. \n\nEr kann mit einem großen Kit repariert werden und zerbricht nicht. Kann nicht unter Wasser verwendet werden."
meleeWpnSpearT3SteelSpearDesc,item,desc,"The steel spear is a excellent weapon that can be used to impale opponents (LMB). Thrown (RMB) the damage is increased. \n\nIt can be repaired with a large kit and does not break. Limited functionality under water.","Der Stahlspeer ist eine hervorragende Waffe mit der man Gegner aufspießen (LMB) kann. Geworfen (RMB) ist der Schaden erhöht. \n\nEr kann mit einem großen Kit repariert werden und zerbricht nicht. Eingeschränkte Funktion unter Wasser."
meleeWpnSledgeT3SteelSledgehammer,item,weapon,Steel Sledgehammer,Stahlprügel
meleeWpnSledgeT3SteelSledgehammerDesc,item,desc,"The iron sledgehammer is an excellent weapon with which you can crush opponents (LMB/RMB). Power attacks (RMB) require more stamina. \n\nIt can be repaired with a large kit and does not break. Cannot be used underwater.","Der Stahlprügel ist eine hervorragende Waffe mit der man Gegner zermatschen (LMB/RMB) kann. Stärkere Attacken (RMB) benötigen mehr Ausdauer. \n\nEr kann mit einem großen Kit repariert werden und zerbricht nicht. Kann nicht unter Wasser verwendet werden."
meleeWpnKnucklesT3SteelKnucklesDesc,item,desc,"Steel claws are excellent weapons with which you can damage opponents (LMB/RMB). Stronger attacks (RMB) require more stamina. \n\nThey can be repaired with a large kit and will not break. Can be used underwater.","Stahlklauen sind hervorragende Waffen mit denen man Gegner schädigen (LMB/RMB) kann. Stärkere Attacken (RMB) benötigen mehr Ausdauer. \n\nSie können mit einem großen Kit repariert werden und zerbrichen nicht. Können unter Wasser verwendet werden."
meleeToolSalvageT2RatchetDesc,item,desc,"The ratchet is an excellent tool for quick disassembly (LMB/RMB). Power attacks (RMB) require more stamina. \n\nIt can be repaired with a large kit and will not break. Cannot be used underwater.","Die Knarre ist ein hervorragendes Werkzeug mit dem man Gegenstände schnell zerlegen (LMB/RMB) kann.  Stärkere Hiebe (RMB) benötigen mehr Ausdauer. \n\nSie kann mit einem großen Kit repariert werden und zerbricht nicht. Kann nicht unter Wasser verwendet werden."
gunHandgunT2Magnum44Desc,item,desc,"The Magnum is a excellent weapon with which you can shoot enemies at a distance (LMB). Aiming (RMB) allows more accurate hits, but costs stamina. The ammunition can be changed (R). \n\nIt can be repaired with a large kit and will not break. Limited function under water (5m).","Die Magnum ist eine hervorragende Waffe mit der man Gegner auf Entfernung abschießen (LMB) kann. Zielen (RMB) ermöglicht genauere Treffer, kostet aber Ausdauer. Die Munition kann gewechselt (R) werden. \n\nSie kann mit einem großen Kit repariert werden und zerbricht nicht. Eingeschränkte Funktion unter Wasser (5m)."
gunShotgunT2PumpShotgunDesc,item,desc,"The shotgun is a excellent weapon with which you can shoot enemies at a short distance (LMB). Aiming (RMB) allows more accurate hits, but costs stamina. The ammunition can be changed (R). \n\nIt can be repaired with a large kit and will not break. Limited function under water (5m).","Die Pumpgun ist eine hervorragende Waffe mit der man Gegner auf kurze Entfernung abschießen (LMB) kann. Zielen (RMB) ermöglicht genauere Treffer, kostet aber Ausdauer. Die Munition kann gewechselt (R) werden. \n\nSie kann mit einem großen Kit repariert werden und zerbricht nicht. Eingeschränkte Funktion unter Wasser (5m)."
gunRifleT2MarksmanRifleDesc,item,desc,"The marksman rifle is a excellent weapon with which you can shoot enemies at a long distance (LMB). Aiming (RMB) allows more accurate hits, but costs stamina. The ammunition can be changed (R). \n\nIt can be repaired with a large kit and will not break. Limited function under water (8m).","Das Schützengewehr ist eine hervorragende Waffe mit der man Gegner auf weite Entfernungen abschießen (LMB) kann. Zielen (RMB) ermöglicht genauere Treffer, kostet aber Ausdauer. Die Munition kann gewechselt (R) werden. \n\nSie kann mit einem großen Kit repariert werden und zerbricht nicht. Eingeschränkte Funktion unter Wasser (8m)."
gunMGT1AK47Desc,item,desc,"The AK47 is a excellent weapon with which you can shoot enemies at a distance (LMB). Aiming (RMB) allows more accurate hits, but costs stamina. The ammunition can be changed (R). \n\nIt can be repaired with a large kit and will not break. Limited function under water (6.5m).","Die AK47 ist eine hervorragende Waffe mit der man Gegner auf Entfernung abschießen (LMB) kann. Zielen (RMB) ermöglicht genauere Treffer, kostet aber Ausdauer. Die Munition kann gewechselt (R) werden. \n\nSie kann mit einem großen Kit repariert werden und zerbricht nicht. Eingeschränkte Funktion unter Wasser (6,5m)."
gunMGT2TacticalARDesc,item,desc,"The assault rifle is a excellent weapon with which you can shoot enemies at a distance (LMB). Aiming (RMB) allows more accurate hits, but costs stamina. The ammunition can be changed (R). \n\nIt can be repaired with a large kit and will not break. Limited function under water (8m).","Das Sturmgewehr ist eine hervorragende Waffe mit der man Gegner auf Entfernung abschießen (LMB) kann. Zielen (RMB) ermöglicht genauere Treffer, kostet aber Ausdauer. Die Munition kann gewechselt (R) werden. \n\nSie kann mit einem großen Kit repariert werden und zerbricht nicht. Eingeschränkte Funktion unter Wasser (8m)."

meleeToolAxeT3ChainsawDesc,item,desc,"The chainsaw is a superior tool with which one can break down wood very quickly (LMB). Requires gas to work. \n\nIt can be repaired with a large kit and used underwater.","Die Kettensäge ist ein überlegendes Werkzeug mit dem man Holz sehr schnell abbauen (LMB) kann. Benötigt zum Betrieb Benzin. \n\nSie kann mit einem großen Kit repariert und unter Wasser verwendet werden."
