Key,Type,english,german
h7sb_wasserspender,furniture,Water Dispenser,Wasserspender
h7sb_kühlfach,furniture,Cooling Compartment,Kühlfach
h7sb_kühlbox,furniture,Cooling Box,Kühlbox
h7sb_kühlschrank,furniture,Stainless Steel Refrigerator,Edelstahl Kühlschrank
h7sb_kühlschrank1,furniture,Retro Refrigerator,Retro Kühlschrank
h7sb_spind,furniture,Locker,Spind
h7sb_spind1,furniture,Locker,Spind
h7sb_spind2,furniture,Locker,Spind
h7sb_spind3,furniture,Locker,Spind
h7sb_spind4,furniture,Locker,Spind
h7sb_papierkorb,furniture,Bin,Papierkorb
h7sb_mülleimer,furniture,Garbage Can,Mülleimer
h7sb_mülleimer1,furniture,Garbage Can,Mülleimer
h7sb_mülleimer2,furniture,Fancier Garbage Can,Schicker Mülleimer
h7sb_kleiderhaken,furniture,Coat Hooks,Kleiderhaken
h7sb_kleiderhaken1,furniture,Coat Hooks,Kleiderhaken
h7sb_kleiderständer,furniture,Clothes Rack,Kleiderständer
h7sb_kleiderständer1,furniture,Clothes Rack,Kleiderständer
h7sb_kleiderständer2,furniture,Clothes Rack,Kleiderständer
h7sb_eisenfassUnten,furniture,Barrels (green),Fässer (grün)
h7sb_eisenfassOben,furniture,Barrels (green),Fässer (grün)
h7sb_eisenfassUnten1,furniture,Barrels (red),Fässer (rot)
h7sb_eisenfassOben1,furniture,Barrels (red),Fässer (rot)
h7sb_eisenfassUnten2,furniture,Barrels (brown),Fässer (braun)
h7sb_eisenfassOben2,furniture,Barrels (brown),Fässer (braun)
h7sb_eisenfassUnten3,furniture,Barrels (blue),Fässer (blau)
h7sb_eisenfassOben3,furniture,Barrels (blue),Fässer (blau)
h7sb_eisenfassUnten4,furniture,Barrels (yellow),Fässer (gelb)
h7sb_eisenfassOben4,furniture,Barrels (yellow),Fässer (gelb)
h7sb_ofen,furniture,Fancier Oven,Schicker Herd
h7sb_ofen1,furniture,Oven,Herd
h7sb_waschmaschine,furniture,Washing Machine,Waschmaschine
h7sb_abfallpresse,furniture,Waste Press,Abfallpresse
h7sb_eisentischRund,furniture,Round Iron Table,Runder Eisentisch
h7sb_eisentischRund1,furniture,Round Iron Table,Runder Eisentisch
h7sb_badewanne,furniture,Bathtub,Badewanne
h7sb_munitionskiste,furniture,Munitions Box,Munitionskiste
h7sb_munitionskiste_red,furniture,Munitions Box,Munitionskiste
h7sb_munitionskiste_green,furniture,Munitions Box,Munitionskiste
h7sb_munitionskiste_blue,furniture,Munitions Box,Munitionskiste
h7sb_munitionskiste_orange,furniture,Munitions Box,Munitionskiste

h7sb_MedicLootPileSmall,furniture,Medical Supply,Medizinvorrat
h7sb_MedicLootPileMedium,furniture,Medical Supply,Medizinvorrat
h7sb_FoodPileSmall,furniture,Food Supply,Nahrungsvorrat
h7sb_FoodPileMedium,furniture,Food Supply,Nahrungsvorrat
h7sb_FoodPileLarge,furniture,Food Supply,Nahrungsvorrat
h7sb_AmmoPileSmall,furniture,Ammo Supply,Munitionsvorrat
h7sb_AmmoPileMedium,furniture,Ammo Supply,Munitionsvorrat
h7sb_AmmoPileLarge,furniture,Ammo Supply,Munitionsvorrat
h7sb_FileCabinetShortClosed,furniture,File Cabinet,Aktenschrank
h7sb_FileCabinetTallClosed,furniture,File Cabinet,Aktenschrank
h7sb_GunRackSmallMagazines,furniture,Gun Supply,Waffenvorrat
h7sb_GunRackSmallArmor,furniture,Gun Supply,Waffenvorrat
h7sb_GunRackLargeGuns01,furniture,Gun Supply,Waffenvorrat
h7sb_GunRackLargeGuns02,furniture,Gun Supply,Waffenvorrat

h7sb_lagerkiste,furniture,Storage Box,Lagerkiste
h7sb_lagerkiste1,furniture,Storage Box,Lagerkiste
h7sb_lagerkiste2,furniture,Storage Box,Lagerkiste
h7sb_lagerkiste3,furniture,Storage Box,Lagerkiste
h7sb_lagerkiste4,furniture,Storage Box,Lagerkiste
h7sb_lagerkiste5,furniture,Storage Box,Lagerkiste
h7sb_lagerkiste6,furniture,Storage Box,Lagerkiste
h7sb_lagerkiste7,furniture,Storage Box,Lagerkiste
h7sb_lagerkiste8,furniture,Storage Box,Lagerkiste
h7sb_schrankRot,furniture,Wall Cupboard,Hängeschrank
h7sb_schrankRot1,furniture,Wall Cupboard,Hängeschrank
h7sb_schrankRot2,furniture,Wall Cupboard,Hängeschrank
h7sb_schrankRot3,furniture,Base Cabinet,Unterschrank
h7sb_spüleRot,furniture,Scullery,Spüle
h7sb_thekeRot,furniture,Counter,Theke
h7sb_schrankSchwarz,furniture,Wall Cupboard,Hängeschrank
h7sb_schrankSchwarz1,furniture,Wall Cupboard,Hängeschrank
h7sb_schrankSchwarz2,furniture,Wall Cupboard,Hängeschrank
h7sb_schrankSchwarz3,furniture,Base Cabinet,Unterschrank
h7sb_spüleSchwarz,furniture,Scullery,Spüle
h7sb_schrankSchwarz4,furniture,Counter,Unterschrank
h7sb_schrankBraun,furniture,Wall Cupboard,Hängeschrank
h7sb_schrankBraun1,furniture,Wall Cupboard,Hängeschrank
h7sb_schrankBraun2,furniture,Wall Cupboard,Hängeschrank
h7sb_schrankBraun3,furniture,Base Cabinet,Unterschrank
h7sb_spüleBraun,furniture,Scullery,Spüle
h7sb_thekeBraun,furniture,Counter,Theke
h7sb_holzstapel,furniture,Warehouse Stack (Wood),Lager Stapel (Holz)
h7sb_holzstapel1,furniture,Warehouse Stack (Wood),Lager Stapel (Holz)
h7sb_kistenstapel,furniture,Warehouse Stack (Carton),Lager Stapel (Karton)
h7sb_kistenstapel1,furniture,Warehouse Stack (Carton),Lager Stapel (Karton)
h7sb_steinstapel,furniture,Warehouse Stack (Stone),Lager Stapel (Stein)
h7sb_steinstapel1,furniture,Warehouse Stack (Stone),Lager Stapel (Stein)
h7sb_abgedecktstapel,furniture,Warehouse Stack,Lager Stapel
h7sb_kommode,furniture,Dresser,Kommode
h7sb_weinfass,furniture,Wine Barrel,Weinfass
h7sb_weinfass1,furniture,Wine Barrel,Weinfass
h7sb_weinfass2,furniture,Wine Barrel,Weinfass
h7sb_medizinschrank,furniture,Medicine Cabinet,Medizinschrank
h7sb_medizinschrank1,furniture,Mirror Cabinet,Spiegelschrank
h7sb_bücherregal,furniture,Bookshelf,Bücherregal
h7sb_bücherregal1,furniture,Bookshelf,Bücherregal
h7sb_bücherregal2,furniture,Bookshelf,Bücherregal
h7sb_bücherregal3,furniture,Bookshelf,Bücherregal
h7sb_bücherregal4,furniture,Bookshelf,Bücherregal
h7sb_fenterläden,furniture,Shutters,Fensterläden
h7sb_fenterrahmenSchmal,furniture,Window Frame (Narrow),Fensterrahmen (schmal)
h7sb_fenterrahmenSchmal1,furniture,Window Frame (Narrow),Fensterrahmen (schmal)
h7sb_fenterrahmenSchmal2,furniture,Window Frame (Narrow),Fensterrahmen (schmal)

h7sb_CementBagStack,furniture,Cement Bags,Zementsäcke
h7sb_BookPile01,furniture,Book Pile,Bücherstapel
h7sb_BookPile04,furniture,Book Pile,Bücherstapel

h7sb_pappstapel,furniture,Pappstapel,Papierstapel

signRoadHelper,Sign,Road Signs,
signRoadHelperDesc,Block,This helper block contains all of the different road signs,
signShopHelper,Sign,"Shop Signs",
signShopHelperDesc,Block,"This helper block contains all of the different shop signs. \n \nPass 'n Gas, Crack A Book, Pop-N-Pills, Shamway Food, Shotgun Messiah, Working Stiff Tools, Savage Country, and Mo Power.",
decoPaperHelper,block,Decorations - Paper,
decoPaperHelperDesc,block,This helper block contains a variety of different paper decorations,
decoClothHelper,block,Decorations - Cloth,
decoClothHelperDesc,block,This helper block contains a variety of different cloth decorations,
decoStoneHelper,block,Decorations - Stone,
decoStoneHelperDesc,block,This helper block contains a variety of different stone decorations,
decoPolymerHelper,block,Decorations - Polymer,
decoPolymerHelperDesc,block,This helper block contains a variety of different polymer based decorations,
decoTechnologyHelper,block,Decorations - Technology,
decoTechnologyHelperDesc,block,This helper block contains a variety of different technology decorations,
decoGoreHelper,block,Decorations - Gore,
decoGoreHelperDesc,block,This helper block contains a variety of different gore decorations,
