Key,Source,Context,English,German
h7sb_adminMisc_raceDesc,desc,block,"When you cross the starting line, the stopwatch starts counting. When you reach the finish line, the time stops and is saved in the character window. \n\nYou can increase the number of laps with the stopwatch item.","Überquert man die Startlinie beginnt die Stoppuhr zu zählen. Erreicht man die Ziellinie stoppt die Zeit und wird im Charackterfenster abgespeichert. \n\nMan kann die Rundenanzahl mit dem Stoppuhr Gegenstand erhöhen."
h7sb_stopwatchAdmin,new,item,Admin: Stopwatch,Admin: Stoppuhr
h7sb_stopwatchAdminDesc,desc,item,"Can be used (LMB) to change the number of laps or restart (RMB) races.\n\nThis item works in combination with the start and finish line block.","Kann verwendet (LMB) werden um die Rundenzahl zu ändern oder zum neustarten (RMB) von Rennen. \n\nDieser Gegenstand funktioniert in Kombination mit dem Start- und Ziellinien-Block."
buffLapStart,new,buff,Stopwatch,Stoppuhr
buffLapStartDesc,desc,buff,"Shows the elapsed time since the start or the last time a checkpoint was crossed.","Zeigt die vergangene Zeit an seit dem Start bzw. dem letzten überqueren einen Checkpoints."
buffLaps,new,buff,Lap,Runde
buffLapsDesc,desc,buff,"Time required for the lap/checkpoint.","Benötigte Zeit für die Runde/Checkpoint."
buffLapFinish,new,buff,Race finished,Rennen beendet
buffLapFinishDesc,desc,buff,"The race is over. In 3 minutes you can a new round.","Das Renne ist zu Ende. In 3 Minuten kannst du am nächsten teilnehmen."
h7sb_adminMisc_lapCounter,new,block,Lap Count,Rundenanzahl
h7sb_adminMisc_lapCounterDesc,desc,block,"When you stand on this block, the number of rounds increases slowly.","Wenn du auf diesem Block stehst erhöht sich langsam die Rundenanzahl."
buffLapCounter,new,buff,Lap Count,Rundenanzahl
buffLapCounterDesc,desc,buff,"The number shows how many laps or checkpoints you have to reach to finish a race.","Die Zahl zeigt an wie viele Runden bzw. Checkpoints man erreichen muss, um ein Rennen zu beenden."
