Key,Source,Context,English,German
h7sb_lights7,blocks,light,Industrial Fluorescent Tube,Industrielle Leuchtröhre
h7sb_lights8,blocks,light,Wall Lamp (outdoor),Wandlampe (außen)
h7sb_lights9,blocks,light,Wall Lamp (half),Wandlampe (halb)
h7sb_lights10,blocks,light,Round Ceiling Lamp (silver),Runde Deckenlampe (silber)
h7sb_lights11,blocks,light,Round Ceiling Lamp (gold),Runde Deckenlampe (gold)
h7sb_lights12,blocks,light,Ceiling Lamp,Deckenlampe
h7sb_lights13,blocks,light,Ceiling Lamp (silver),Deckenlampe (silber)
h7sb_lights14,blocks,light,Ceiling Lamp (gold),Deckenlampe (gold)
h7sb_lights15,blocks,light,Shop Sign (open),Ladenschild (geöffnet)
h7sb_lights16,blocks,light,Shop sign (exit),Ladenschild (ausgang)
h7sb_lights17,blocks,light,Recessed Light,Versenktes Licht
h7sb_lights18,blocks,light,Porch Light,Außenlicht
h7sb_lights19,blocks,light,Porch Light (silver),Außenlicht (silber)
h7sb_lights20,blocks,light,Porch Light (gold),Außenlicht (gold)

h7sb_lightsWorkside,blocks,light,Construction Site Light,Baustellenlicht
h7sb_lightsHall,blocks,light,Ceiling Spotlights,Deckenstrahler
h7sb_lightsHallIndustrial,blocks,light,Hall Light,Flurlicht
h7sb_lightsStreetClassic,blocks,light,Street Lamp,Straßenlaterne
h7sb_lightsRoadBarricade,blocks,light,Road Closure,Straßenabsperrung
h7sb_lightsTable,blocks,light,Bedside Table,Nachttisch
h7sb_lightsFan,blocks,light,Fan,Ventilator

h7sb_fuseBox,blocks,strom,Fuse Box,Sicherungskasten
h7sb_fuseBoxDesc,desc,strom,"Fuse boxes can be placed (RMB) and then connected to a power source. All outgoing connections from the generator are invisible. \n\nThe device requires 3W to operate.","Sicherungskästen können platziert (RMB) und anschließend mit einer Stromquelle verbunden werden. Alle abgehenden Anschlüsse aus dem Generator sind unsichtbar. \n\nDas Gerät benötigt zum Betrieb 3W."
